k,coordinates,cluster_id,mse,center,radius
1,"[4.2, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.1382328847127985
1,"[2.3, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6327473177379537
1,"[1.5, 12.5]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.5801554428524347
1,"[1.34, 12.5]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.6183525862923407
1,"[1.86, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6046747881937232
1,"[4.6, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",3.4257970235459005
1,"[1.6, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1137284807747752
1,"[1.7, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0780937022586083
1,"[3.6, 17.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.759915981860337
1,"[2.31, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.05780193458438
1,"[1.29, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.8792763708163027
1,"[2.5, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.737671317068885
1,"[2.06, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.577426535066317
1,"[1.56, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1301474099003965
1,"[1.05, 13.3]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.9873429279323214
1,"[1.44, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1861531459940717
1,"[2.0, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5785191977991933
1,"[2.02, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5774629361390902
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.25, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6139395060787202
1,"[2.2, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.598727205114141
1,"[2.25, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6139395060787202
1,"[1.26, 12.5]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",2.6408813575348593
1,"[1.9, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.0325094841071638
1,"[1.86, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.6046747881937232
1,"[1.42, 14.0]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",1.1964030697718377
1,"[2.02, 15.6]",0,1.2446267014379087,"[2.0405254901960785, 15.022901960784314]",0.5774629361390902
